payer_name,domain,payer_type,search_aliases,search_excludes
Aetna,aetna.com,National,Aetna|CVS Health|CVS Aetna|Aetna Inc,
Blue Cross & Blue Shield of Rhode Island,bcbsri.com,Blues Plan,BCBS Rhode Island|BCBSRI|Blue Cross RI,
CareOregon,careoregon.org,Medicaid MCO,CareOregon|Care Oregon|Oregon Health Plan CareOregon,
Elevance Health,elevancehealth.com,National,Elevance Health|Anthem|Anthem Inc|Anthem BCBS,
EmblemHealth Inc.,emblemhealth.com,Regional,EmblemHealth|Emblem Health|GHI|HIP Health Plan|ConnectiCare|AdvantageCare Physicians,
Excellus BlueCross BlueShield,excellusbcbs.com,Blues Plan,Excellus BCBS|Excellus BlueCross BlueShield|Excellus Health Plan,
Fallon Health,fallonhealth.org,Regional,Fallon Health|Fallon Community Health Plan|FCHP,
Geisinger Health Plan,geisinger.org,Regional,Geisinger Health Plan|Geisinger|GHP,
Horizon Blue Cross Blue Shield of New Jersey,horizonblue.com,Blues Plan,Horizon BCBSNJ|Horizon Blue Cross|Horizon NJ Health|BCBS New Jersey,
Independence Blue Cross,ibx.com,Blues Plan,Independence Blue Cross|IBX|Independence BC,AmeriHealth Caritas|AmeriHealth New Jersey|AmeriHealth NJ
Mass General Brigham Health Plan,massgeneralbrighamhealthplan.org,Regional,Mass General Brigham Health Plan|MGB Health Plan|Allways Health Partners|MGBHP,
MVP Health Care,mvphealthcare.com,Regional,MVP Health Care|MVP Health|Independent Health|MVP Independent Health,
UnitedHealthcare,uhc.com,National,UnitedHealthcare|UHC|United Healthcare,
UPMC Health Plan,upmchealthplan.com,Regional,UPMC Health Plan|UPMC Insurance|UPMC,
WellSense Health Plan,wellsense.org,Medicaid MCO,WellSense Health Plan|Boston Medical Center HealthNet Plan|BMC HealthNet|WellSense,
